state,solar_production,energy_consumption
CA,612474805.3466667,6816746.0
MD,55467510.18666667,1182581.0
TX,44758219.413333334,14137451.0
FL,43441648.84,4301743.0
NC,20176189.193333335,2472784.0
VA,12104663.386666667,2435265.0
OK,11058818.666666666,1519146.0
CO,8282906.066666666,1368260.0
OR,8274386.966666667,875020.0
WA,5863377.033333333,1602662.0
NJ,4091886.033333333,1982296.0
HI,3384262.966666667,272874.0
NV,3382630.2,689433.0
AL,3318083.6,1860171.0
AR,3104244.7,1049897.0
IL,2936697.533333333,3486989.0
OH,2913013.9,3381273.0
MO,2772617.8666666667,1681954.0
IN,1724408.4333333333,2555897.0
AZ,509408.6,1526567.0
TN,164980.0,2058049.0
